Text,University name,Address,Latitude,Longitude,Found Address,Match Quality,Source
"University of the Free State, Bloemfontein (Current number of students: 2)","University of the Free State, Bloemfontein","205 Nelson Mandela Dr, Park West, Bloemfontein, 9301, South Africa",-29.1038123,26.186225,"205 Nelson Mandela Dr, Brandwag, Bloemfontein, 9301, South Africa",Match,Google
Universitat Ramon Llull - Blanquerna School of Communication and International Relations (FCRIB-URL) (Current number of students: 0),Universitat Ramon Llull - Blanquerna School of Communication and International Relations (FCRIB-URL),"Passeig de Sant Gervasi, 47, 08022 Barcelona, Spain",41.4105288,2.1355702,"Passeig de Sant Gervasi, 47, 08022 Barcelona, Spain",Match,Google
"Cesine Centro Universitario, Santander (Current number of students: 0)","Cesine Centro Universitario, Santander","Calle José Simón Cabarga, 6, 39005 Santander, Cantabria, Spain",43.4715599,-3.79155,"Calle José Simón Cabarga, 6, 39005 Santander, Cantabria, Spain",Match,Google
"EAE Business School, Barcelona (Current number of students: 0)","EAE Business School, Barcelona","Carrer d'Aragó, 55, 08015 Barcelona, Spain",41.3803349,2.1489773,"Carrer d'Aragó, 55, 08015 Barcelona, Spain",Match,Google
"EAE Business School, Barcelona (Current number of students: 0)","EAE Business School, Barcelona","Carrer de Tarragona, 110, 08015 Barcelona, Spain",41.3801139,2.1436558,"Carrer de Tarragona, 110, 08015 Barcelona, Spain",Match,Google
"ESIC Business & Marketing School, Madrid (Current number of students: 0)","ESIC Business & Marketing School, Madrid","Camino Valdenigriales, s/n, 28223 Pozuelo de Alarcón, Madrid, Spain",40.4371447,-3.8058704,"Camino Valdenigriales, 28223 Pozuelo de Alarcón, Madrid, Spain",Match,Google
Universidad Carlos III de Madrid (Current number of students: 4),Universidad Carlos III de Madrid,"Calle Madrid, 126, 28903 Getafe, Madrid, Spain",40.3158475,-3.7266706,"Calle Madrid, 126, 28903 Getafe, Madrid, Spain",Match,Google
"Universidad Complutense, Madrid (Current number of students: 1)","Universidad Complutense, Madrid","Av. Séneca, 2, 28040 Madrid, Spain",40.4375731,-3.7252231,"Av. Séneca, 2, 28040 Madrid, Spain",Match,Google
"Universidad San Pablo-CEU, Madrid (Current number of students: 6)","Universidad San Pablo-CEU, Madrid","Calle Julián Romea, 23, 28003 Madrid, Spain",40.4425521,-3.7172311,"Edif. A, Calle Julián Romea, 23, 28003 Madrid, Spain",Match,Google
"Universidad de Deusto, San Sebastian (Current number of students: 5)","Universidad de Deusto, San Sebastian",International Relations Camino de Mundaiz 5020012 San Sebastian,43.310066,-1.976723,"Universidad de Deusto, Mundaitz Kalea, 50, 20012 Donostia, Gipuzkoa, Spain",Match,Google
Universidad Europea de Valencia (Current number of students: 0),Universidad Europea de Valencia,"Carrer del General Elio, 2, 46010 València, Spain",39.4777779,-0.3669452,"Carrer del General Elio, 2, 46010 València, Valencia, Spain",Match,Google
